trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
73,False,"{'a': 0.2392722755946373, 'e': 0.9011662310417208}",25,12,-88.92013265395443,"{0: 7, 1: 1, 2: 2, 3: 2, 4: 1}",1
74,False,"{'a': 0.23818958080238592, 'e': 0.8995763642338827}",20,0,-84.97766321149929,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
75,False,"{'a': 0.23712622029933755, 'e': 0.897985257969158}",20,0,-113.4519364961761,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
76,False,"{'a': 0.2360815978543417, 'e': 0.8963929825712239}",20,0,-68.78159291256398,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
77,False,"{'a': 0.2350551431604272, 'e': 0.8947996065554646}",30,0,-185.4632730011935,"{0: 16, 1: 7, 2: 3, 3: 1, 4: 3}",0
78,False,"{'a': 0.23404631038831514, 'e': 0.8932051966955359}",25,0,-194.69545014965965,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 4}",0
79,False,"{'a': 0.23305457683800565, 'e': 0.8916098180866067}",25,0,-117.41950418331987,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
80,False,"{'a': 0.232079441680639, 'e': 0.8900135342054857}",20,5,-6.050660833025946,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.23112042478354494, 'e': 0.8884164069678252}",20,0,-104.43148463997855,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
82,False,"{'a': 0.23017706561202741, 'e': 0.886818496782578}",25,10,-20.507920363864198,"{0: 9, 1: 5, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.22924892220200552, 'e': 0.8852198626038745}",35,0,-210.87284591588073,"{0: 23, 1: 1, 2: 7, 3: 0, 4: 4}",0
84,False,"{'a': 0.22833557019814713, 'e': 0.8836205619804721}",20,0,-127.22536226545623,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
85,False,"{'a': 0.22743660195259532, 'e': 0.8820206511029187}",30,0,-183.7381606801067,"{0: 13, 1: 6, 2: 7, 3: 3, 4: 1}",0
86,False,"{'a': 0.22655162567980838, 'e': 0.8804201848485638}",30,0,-53.44879340025625,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
87,False,"{'a': 0.22568026466341165, 'e': 0.8788192168245395}",20,0,-131.23414655874132,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
88,False,"{'a': 0.2248221565113046, 'e': 0.877217799408826}",25,0,-51.99700162649349,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
89,False,"{'a': 0.22397695245557508, 'e': 0.8756159837895104}",20,0,-69.29136061610103,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
90,False,"{'a': 0.22314431669405654, 'e': 0.8740138200023354}",30,0,-145.64545896848674,"{0: 15, 1: 5, 2: 8, 3: 1, 4: 1}",0
